SYMBOL,NAME OF COMPANY
GODFRYPHLP,Godfrey Phillips India Limited
GRASIM,Grasim Industries Limited
TRENT,Trent Limited
SUZLON,Suzlon Energy Limited
JSWENERGY,Jsw Energy Limited
HAVELLS,Havells India Limited
ULTRACEMCO,Ultratech Cement Limited
ADANIENSOL,Adani Energy Solutions Ltd
VMM,Vishal Mega Mart Ltd
DIVISLAB,Divi's Laboratories Limited
HDFCBANK,Hdfc Bank Limited
UNIONBANK,Union Bank Of India Ltd
HEROMOTOCO,Hero Motocorp Limited
ANGELONE,Angel One Ltd
CONCOR,Container Corporation Of India Limited
MARUTI,Maruti Suzuki India Limited
EICHERMOT,Eicher Motors Limited
INDIANB,Indian Bank Ltd
ADANIGREEN,Adani Green Energy Ltd
PAGEIND,Page Industries Limited
PIIND,Pi Industries Limited
JUBLFOOD,Jubilant Foodworks Limited
AMBER,Amber Enterprises India Ltd
RVNL,Rail Vikas Nigam Ltd
BANKINDIA,Bank Of India Ltd
LT,Larsen & Toubro Limited
PGEL,Pg Electroplast Limited
KAYNES,Kaynes Technology India Ltd
INDIGO,Interglobe Aviation Limited
BIOCON,Biocon Limited
GMRAIRPORT,GMR Airports Ltd
NAUKRI,Info Edge (india) Limited
IREDA,Indian Renewable Energy Development Agency Ltd
ALKEM,Alkem Laboratories Limited
ICICIPRULI,Icici Prudential Life Insurance Company Limited
APLAPOLLO,Apl Apollo Tubes Limited
JIOFIN,Jio Financial Services Ltd
CIPLA,Cipla Limited
JSWSTEEL,Jsw Steel Limited
RELIANCE,Reliance Industries Limited
SBIN,State Bank Of India Ltd
BDL,Bharat Dynamics Ltd
MANAPPURAM,Manappuram Finance Limited
BAJAJFINSV,Bajaj Finserv Limited
INDUSINDBK,Indusind Bank Limited
ADANIPOWER,Adani Power Limited
RADICO,Radico Khaitan Limited
SHREECEM,Shree Cements Limited
FORTIS,Fortis Healthcare Limited
SHRIRAMFIN,Shriram Finance Ltd
SAGILITY,Sagility India Ltd
AMBUJACEM,Ambuja Cements Limited
BAJFINANCE,Bajaj Finance Limited
PHOENIXLTD,The Phoenix Mills Limited
POLYCAB,Polycab India Ltd
FORCEMOT,Force Motors Ltd
AUBANK,AU Small Finance Bank Ltd
ABCAPITAL,Aditya Birla Capital Ltd
UNOMINDA,Uno Minda Ltd
SAIL,Steel Authority Of India Limited
ADANIENT,Adani Enterprises Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
BHARATFORG,Bharat Forge Limited
360ONE,360 ONE WAM Ltd
BPCL,Bharat Petroleum Corporation Limited
TIINDIA,Tube Investments of India Ltd
NMDC,Nmdc Limited
CUMMINSIND,Cummins India Limited
ASIANPAINT,Asian Paints Limited
LTM,LTIMindtree Ltd
SRF,Srf Limited
JINDALSTEL,Jindal Steel Ltd
NBCC,Nbcc (india) Limited
MAZDOCK,Mazagon Dock Shipbuilders Ltd
LTF,L&T Finance Ltd
CHOLAFIN,Cholamandalam Investment And Finance Company Limited
INOXWIND,Inox Wind Limited
CDSL,Central Depository Services Ltd
HINDPETRO,Hindustan Petroleum Corporation Limited
DELHIVERY,Delhivery Ltd
SBICARD,SBI Cards & Payment Services Ltd
VEDL,Vedanta Limited
SUPREMEIND,Supreme Industries Limited
TATASTEEL,Tata Steel Limited
ASHOKLEY,Ashok Leyland Limited
IEX,Indian Energy Exchange Ltd
HINDALCO,Hindalco Industries Limited
BSE,BSE (Bombay stock exchange) Ltd
HINDZINC,Hindustan Zinc Limited
MUTHOOTFIN,Muthoot Finance Limited
DIXON,Dixon Technologies Ltd
KALYANKJIL,Kalyan Jewellers India Ltd
ASTRAL,Astral Ltd
KEI,Kei Industries Limited
DLF,Dlf Limited
OBEROIRLTY,Oberoi Realty Limited
NATIONALUM,National Aluminium Company Limited
PRESTIGE,Prestige Estates Projects Limited
COCHINSHIP,Cochin Shipyard Ltd
GODREJPROP,Godrej Properties Limited
LODHA,Lodha Developers Ltd
